    RA(°)      Dec      Pos      Distance(kpc)  
      11.3503     -73.0085      -79.243644      0.40059170
      11.3528     -72.2167      -25.147187      0.96614294
      11.3553     -71.4737      -14.699893       1.6801450
      11.3596     -72.5179      -35.160460      0.69764818
      11.3603     -70.7079      -10.434366       2.4390824
      11.3610     -72.7690      -51.324045      0.50691273
      11.3798     -70.4938      -9.5481796       2.6518642
      11.3840     -69.9567      -8.1126118       3.1896197
      11.4003     -71.9742      -19.707731       1.1895604
      11.4042     -72.2223      -24.413989      0.95462728
      11.4266     -73.1249      -96.560529      0.37099350
      11.4288     -73.5800      -144.48860      0.61679712
      11.4665     -70.1328      -7.9826652       3.0095743
      11.4714     -71.1446      -11.425314       1.9979805
      11.4912     -70.5856      -9.0187420       2.5547199
      11.4963     -71.3398      -12.291612       1.8026571
      11.5079     -75.0151      -171.05578       1.9753398
      11.5105     -72.0872      -19.907798       1.0703210
      11.5182     -72.2546      -23.192820      0.91100586
      11.5225     -72.6690      -39.835924      0.54537137
      11.5447     -72.3571      -25.408719      0.81257888
      11.5471     -72.8378      -53.748692      0.42002215
      11.5492     -72.8649      -56.791455      0.40345687
      11.5519     -72.8122      -50.925321      0.43509645
      11.5547     -72.7294      -43.403651      0.49267043
      11.5566     -70.5162      -8.3309890       2.6213337
      11.5582     -75.5592      -173.53069       2.5167527
      11.5601     -70.2168      -7.5575355       2.9215585
      11.5638     -70.9507      -9.7235511       2.1862211
      11.5679     -73.0112      -77.440067      0.33733116
      11.5696     -73.9292      -159.96138      0.90906968
      11.5780     -73.1664      -104.47015      0.33398218
      11.5827     -70.5055      -8.1111507       2.6309525
      11.5874     -74.0397      -162.49879       1.0124090
      11.5944     -71.2324      -10.717823       1.9036004
      11.6060     -71.3431      -11.199902       1.7928247
      11.6160     -72.0225      -17.242798       1.1228808
      11.6324     -70.4684      -7.6538761       2.6661673
      11.6515     -70.4138      -7.3830857       2.7203188
      11.6555     -69.8940      -6.3232986       3.2425688
      11.6706     -70.9690      -8.8759308       2.1628102
      11.6734     -72.5979      -31.840920      0.57841783
      11.6758     -73.1493      -102.53263      0.30227369
      11.6905     -73.0994      -92.979069      0.29198106
      11.7000     -73.4548      -142.90754      0.46906947
      11.7026     -73.4276      -140.81242      0.44725921
      11.7067     -73.7714      -158.32893      0.74670592
      11.7172     -69.9954      -6.1098406       3.1385992
      11.7367     -75.1777      -173.39887       2.1286556
      11.7381     -70.6127      -7.2364160       2.5173144
      11.7476     -72.0668      -15.806090       1.0686972
      11.7570     -71.0553      -8.4316290       2.0726597
