    RA(°)      Dec      Pos      Distance(kpc)  
      13.7109     -73.5068       145.37701      0.51878847
      14.5454     -73.4200       122.73004      0.63809253
      13.7507     -73.4999       143.90304      0.51989494
      14.0794     -73.6650       146.02926      0.70995264
      14.8230     -73.6485       133.54428      0.83952432
      15.3030     -73.8612       137.35280       1.0856871
      14.9857     -74.1295       149.17200       1.2411059
      14.6107     -73.7848       142.70885      0.89742156
      14.5583     -73.5368       130.78216      0.70894912
      14.3026     -73.4942       131.95906      0.62502668
      15.3424     -73.5439       122.18141      0.89894402
      15.7624     -73.5918       121.23910       1.0273987
      15.8453     -73.6826       124.89215       1.0938263
      15.2898     -73.7309       132.11950      0.99436837
      15.9100     -73.3064       104.78933      0.96809923
      14.8721     -73.1109       93.217988      0.64336091
      14.9796     -73.1389       95.566807      0.67597742
      15.1719     -72.9951       83.992798      0.73919113
      16.4416     -73.2890       102.33443       1.1169587
      15.4209     -73.3826       111.84165      0.85190819
      14.9758     -73.2885       108.01165      0.70020560
      14.8445     -73.2526       105.87010      0.65402179
      14.8553     -73.5127       125.34418      0.76338229
      13.5111     -73.2735       128.33188      0.30686498
      14.1039     -73.1965       105.58834      0.43076064
      14.1336     -73.1413       98.064537      0.42917385
      13.5413     -72.9022       54.074785      0.31473954
      14.5560     -72.8563       68.098853      0.60101211
      14.9576     -73.3429       112.39222      0.71222190
      14.9475     -73.0547       88.298285      0.66689394
      15.8002     -73.2425       101.27310      0.92542269
      15.6312     -72.8343       75.116565      0.90922126
      15.0978     -72.8694       74.059975      0.74709656
      14.7808     -72.6498       55.732599      0.76459227
      13.8025     -72.4886       29.505410      0.69086201
      14.1959     -72.7074       50.261700      0.59072800
      13.2777     -72.7837       30.201681      0.35333107
      12.6205     -72.6411      -2.4087573      0.45068875
      12.7027     -72.7624       1.0136648      0.32786257
      13.7917     -72.7767       46.902636      0.45409121
      13.1095     -72.5504       13.412268      0.55671792
      12.4903     -72.9699      -25.826717      0.13107127
      12.6474     -72.7362      -1.7416688      0.35439748
      13.1613     -72.4525       12.812606      0.65661605
      12.8619     -72.3349       4.1227857      0.76163264
      13.2694     -72.3995       14.477975      0.71626097
      13.8364     -72.3718       26.137224      0.80089344
      13.0842     -72.0065       6.5433771       1.0981916
      12.4196     -72.2359      -5.4033532      0.86341136
      12.3136     -72.2610      -7.7707722      0.84174064
      12.1561     -72.1514      -9.8086614      0.95836309
      12.5567     -72.3263      -2.8943791      0.76934807
      13.0231     -72.4772       9.5322906      0.62423635
      13.4330     -72.4217       18.835629      0.70854128
      13.0441     -72.6269       13.192007      0.47696683
      12.5784     -72.6396      -4.0057094      0.45290546
      12.6191     -72.6008      -2.2624689      0.49137406
      12.9174     -72.6025       8.2249755      0.49427472
      12.1894     -72.6936      -20.521430      0.42349794
      11.5815     -72.6665      -38.191987      0.53638352
      10.8413     -72.6156      -49.938873      0.72641844
      11.7961     -73.2820      -127.67776      0.32579612
      11.7099     -73.0539      -83.842799      0.28832481
      13.5276     -73.2710       127.41967      0.30914795
      14.3083     -73.3138       116.57053      0.52701616
      14.4290     -73.2505       108.77527      0.53680163
      14.4086     -73.4346       125.81572      0.61280574
      14.8537     -73.4063       118.08532      0.70970093
      14.6128     -73.2986       111.71284      0.60294641
      14.0303     -72.9661       73.583851      0.41558991
      15.2097     -73.0789       90.592048      0.74275909
      13.5570     -72.9176       56.900339      0.30952364
      13.6172     -72.9058       56.914501      0.33103191
      12.6619     -73.0770      -32.435490     0.011707633
      12.2236     -73.6015      -165.85925      0.53676158
      12.5527     -73.3743      -172.59615      0.29299474
      12.1729     -73.3851      -153.97523      0.33609471
      12.9721     -73.3363       161.65129      0.26582374
      10.9840     -73.3376      -117.88293      0.55686548
      11.2934     -73.4638      -133.96760      0.55527876
      10.9631     -73.3495      -118.69776      0.56765611
      10.6393     -73.5128      -126.92891      0.73306853
      11.5357     -73.7200      -153.17857      0.72035263
      12.0349     -73.9624      -168.45007      0.90392962
      11.4128     -73.2156      -109.88225      0.39417086
      11.5709     -73.2709      -120.29308      0.37464757
      10.7106     -73.2769      -109.36461      0.60781163
