 0.265142634E+01 -0.328022705E-01 -0.807899230E+02 -0.158971588E+02  0.823391238E+02 -0.294730329E+01  0.774000168E+00  0.146251014E-01  0.191088009E+02  0.632099990E-02  0.341393443E-02  0.298677592E-02  0.385564136E-02  0.264348696E-02  0.435344372E-02  0.996586066E+00  0.996139932E+00  0.997009560E+00  0.995616196E+00  0.997346407E+00
 0.265149034E+01 -0.327769373E-01 -0.805699609E+02 -0.158098743E+02  0.821064597E+02 -0.294782912E+01  0.114020157E+01  0.353433730E-02  0.162745991E+02  0.993000000E-03  0.345179098E-02  0.301995168E-02  0.389832804E-02  0.267295000E-02  0.440145131E-02  0.996548209E+00  0.996097178E+00  0.996976332E+00  0.995567852E+00  0.997316896E+00
 0.265193935E+01 -0.343142625E-01 -0.790229103E+02 -0.210951826E+02  0.817901405E+02 -0.288072556E+01  0.534200668E+00  0.139019592E-01  0.193957996E+02  0.819600000E-02  0.350409887E-02  0.306579358E-02  0.395730791E-02  0.271366453E-02  0.446777773E-02  0.996495901E+00  0.996038105E+00  0.996930419E+00  0.995501061E+00  0.997276117E+00
 0.265259028E+01 -0.341564722E-01 -0.767856588E+02 -0.205508442E+02  0.794882041E+02 -0.288008261E+01  0.425500870E+00  0.145771271E-01  0.194475994E+02  0.119860005E-01  0.391591646E-02  0.342680908E-02  0.442162391E-02  0.303441262E-02  0.498971774E-02  0.996084084E+00  0.995573036E+00  0.996568827E+00  0.994975466E+00  0.996954932E+00
 0.265324111E+01 -0.336919984E-01 -0.745494163E+02 -0.189519909E+02  0.769206958E+02 -0.289264570E+01  0.481401444E+00  0.183185358E-01  0.196063995E+02  0.139330002E-01  0.444832642E-02  0.389398693E-02  0.502177521E-02  0.344976562E-02  0.566413502E-02  0.995551674E+00  0.994971899E+00  0.996100875E+00  0.994296324E+00  0.996539187E+00
 0.265273654E+01 -0.330302083E-01 -0.762852965E+02 -0.166775856E+02  0.780870561E+02 -0.292635784E+01  0.684299469E+00  0.776246520E-02  0.180641994E+02  0.317400000E-02  0.419611650E-02  0.367254990E-02  0.473751785E-02  0.325285404E-02  0.534460734E-02  0.995803884E+00  0.995256759E+00  0.996322683E+00  0.994618090E+00  0.996736260E+00
 0.265266956E+01 -0.329407268E-01 -0.765157471E+02 -0.163700568E+02  0.782472896E+02 -0.293082641E+01  0.599199295E+00  0.361935794E-01  0.203379002E+02  0.197289996E-01  0.416286845E-02  0.364336326E-02  0.470000590E-02  0.322690518E-02  0.530247332E-02  0.995837132E+00  0.995294313E+00  0.996351918E+00  0.994660520E+00  0.996762234E+00
 0.265078654E+01 -0.323772195E-01 -0.829904768E+02 -0.144372061E+02  0.842368812E+02 -0.296935412E+01  0.711999893E+00  0.901877690E-02  0.183994999E+02  0.349800010E-02  0.312363496E-02  0.273240422E-02  0.352826155E-02  0.241763984E-02  0.398514659E-02  0.996876365E+00  0.996467816E+00  0.997264321E+00  0.995987071E+00  0.997572657E+00
 0.265027777E+01 -0.318661066E-01 -0.847408588E+02 -0.126809506E+02  0.856844190E+02 -0.299305101E+01  0.906400680E+00  0.409867290E-02  0.169722004E+02  0.142100000E-02  0.292259218E-02  0.255628851E-02  0.330150938E-02  0.226133458E-02  0.372993794E-02  0.997077408E+00  0.996694907E+00  0.997440560E+00  0.996244066E+00  0.997729280E+00
 0.265109797E+01 -0.322389842E-01 -0.819201165E+02 -0.139610137E+02  0.831012358E+02 -0.297279210E+01  0.116900063E+01  0.384894920E-02  0.162765007E+02  0.868000000E-03  0.329348866E-02  0.288122940E-02  0.371981973E-02  0.254976367E-02  0.420067015E-02  0.996706511E+00  0.996275965E+00  0.997115269E+00  0.995770039E+00  0.997440290E+00
 0.265116950E+01 -0.315399591E-01 -0.816758072E+02 -0.115570430E+02  0.824894097E+02 -0.300102686E+01  0.436100006E+00  0.165586360E-01  0.196938000E+02  0.110250004E-01  0.338975541E-02  0.296558705E-02  0.382837670E-02  0.262467024E-02  0.432277880E-02  0.996610245E+00  0.996167239E+00  0.997030781E+00  0.995647076E+00  0.997365255E+00
 0.265169490E+01 -0.313891143E-01 -0.798698438E+02 -0.110369928E+02  0.806288234E+02 -0.300427507E+01  0.315500259E+00  0.268777050E-01  0.203367996E+02  0.179730002E-01  0.370474784E-02  0.324168646E-02  0.418356664E-02  0.286991390E-02  0.472216271E-02  0.996295252E+00  0.995811483E+00  0.996754248E+00  0.995244895E+00  0.997119640E+00
 0.265184381E+01 -0.324217844E-01 -0.793555744E+02 -0.145876734E+02  0.806852366E+02 -0.295979560E+01  0.692098618E+00  0.358727910E-01  0.204120007E+02  0.208710004E-01  0.369468001E-02  0.323285696E-02  0.417221051E-02  0.286206935E-02  0.470939702E-02  0.996305320E+00  0.995822858E+00  0.996763091E+00  0.995257750E+00  0.997127495E+00
 0.265245991E+01 -0.320020502E-01 -0.772384923E+02 -0.131427820E+02  0.783486912E+02 -0.297304850E+01  0.452899933E+00  0.372613706E-01  0.204496994E+02  0.249729995E-01  0.414199659E-02  0.362504156E-02  0.467645711E-02  0.321061660E-02  0.527602179E-02  0.995858003E+00  0.995317888E+00  0.996370270E+00  0.994687157E+00  0.996778538E+00
